gid0,species_pct,species_included,cumarea,totparea,cmbparea,totarea,parea_pct,bname,cname,tcmbparea,cname0,unregion2,wbincomegroup
ALB,85,6,125.736479927741,6457.4661433396,6583.20262326734,28597.6735101762,23.0200635758876,Albania_ALB,Albania,6583.20262326734,Albania,Europe,Upper middle income
ALB,90,7,133.877499952356,6457.4661433396,6591.34364329196,28597.6735101762,23.0485309965739,Albania_ALB,Albania,6591.34364329196,Albania,Europe,Upper middle income
ALB,95,7,142.052198395512,6457.4661433396,6599.51834173511,28597.6735101762,23.0771161835481,Albania_ALB,Albania,6599.51834173511,Albania,Europe,Upper middle income
ALB,100,7,150.226896838669,6457.4661433396,6607.69304017827,28597.6735101762,23.1057013705223,Albania_ALB,Albania,6607.69304017827,Albania,Europe,Upper middle income
ARE,0,0,0,12003.3585980268,12003.3585980268,70730.7315833197,16.9704997097153,United_Arab_Emirates_ARE,United_Arab_Emirates,12003.3585980268,United Arab Emirates,Asia,High income
ARE,5,1,70.5583695372484,12003.3585980268,12073.916967564,70730.7315833197,17.0702560220816,United_Arab_Emirates_ARE,United_Arab_Emirates,12073.916967564,United Arab Emirates,Asia,High income
ARE,10,1,141.116739074497,12003.3585980268,12144.4753371013,70730.7315833197,17.170012334448,United_Arab_Emirates_ARE,United_Arab_Emirates,12144.4753371013,United Arab Emirates,Asia,High income
ARE,15,1,211.675108611745,12003.3585980268,12215.0337066385,70730.7315833197,17.2697686468143,United_Arab_Emirates_ARE,United_Arab_Emirates,12215.0337066385,United Arab Emirates,Asia,High income
ARE,20,1,282.233478148993,12003.3585980268,12285.5920761758,70730.7315833197,17.3695249591807,United_Arab_Emirates_ARE,United_Arab_Emirates,12285.5920761758,United Arab Emirates,Asia,High income
ARE,25,1,352.791847686242,12003.3585980268,12356.150445713,70730.7315833197,17.4692812715469,United_Arab_Emirates_ARE,United_Arab_Emirates,12356.150445713,United Arab Emirates,Asia,High income
ARE,30,1,423.35021722349,12003.3585980268,12426.7088152503,70730.7315833197,17.5690375839133,United_Arab_Emirates_ARE,United_Arab_Emirates,12426.7088152503,United Arab Emirates,Asia,High income
ARE,35,1,493.908586760739,12003.3585980268,12497.2671847875,70730.7315833197,17.6687938962796,United_Arab_Emirates_ARE,United_Arab_Emirates,12497.2671847875,United Arab Emirates,Asia,High income
ARE,40,1,564.466956297987,12003.3585980268,12567.8255543248,70730.7315833197,17.768550208646,United_Arab_Emirates_ARE,United_Arab_Emirates,12567.8255543248,United Arab Emirates,Asia,High income
ARE,45,1,635.025325835235,12003.3585980268,12638.383923862,70730.7315833197,17.8683065210123,United_Arab_Emirates_ARE,United_Arab_Emirates,12638.383923862,United Arab Emirates,Asia,High income
ARE,50,1,705.583695372484,12003.3585980268,12708.9422933993,70730.7315833197,17.9680628333787,United_Arab_Emirates_ARE,United_Arab_Emirates,12708.9422933993,United Arab Emirates,Asia,High income
ARE,55,2,716.774778075806,12003.3585980268,12720.1333761026,70730.7315833197,17.9838849271882,United_Arab_Emirates_ARE,United_Arab_Emirates,12720.1333761026,United Arab Emirates,Asia,High income
